,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,san felipe,0,CL,1554432503,73,-32.75,-70.73,62.01,2.15
1,tuktoyaktuk,20,CA,1554429600,84,69.44,-133.03,-2.21,3.36
2,mataura,80,NZ,1554432006,57,-46.19,168.86,54,1.99
3,fairbanks,1,US,1554432432,49,64.84,-147.72,35.01,16.11
4,khatanga,64,RU,1554432526,90,71.98,102.47,16.88,15.01
5,busselton,0,AU,1554432308,30,-33.64,115.35,66,7.52
6,new norfolk,40,AU,1554432376,42,-42.78,147.06,71.01,17.22
7,faanui,44,PF,1554432527,100,-16.48,-151.75,81.68,5.73
8,umm kaddadah,0,SD,1554432527,23,13.6,26.69,60.98,5.95
9,coihaique,75,CL,1554429600,62,-45.58,-72.07,51.8,5.82
10,ngunguru,44,NZ,1554431884,64,-35.62,174.5,66.99,4
11,saint-philippe,1,CA,1554432361,36,45.36,-73.48,30.99,9.17
12,chuy,48,UY,1554432527,95,-33.69,-53.46,67.82,14.56
13,hermanus,68,ZA,1554432310,78,-34.42,19.24,55.99,7
14,fortuna,75,ES,1554432506,81,38.18,-1.13,55.4,2.82
15,faya,0,SA,1554429600,87,18.39,42.45,60.8,9.17
16,kavieng,48,PG,1554432528,100,-2.57,150.8,82.4,0.92
17,yellowknife,20,CA,1554432283,46,62.45,-114.38,10.4,11.41
18,atuona,68,PF,1554432528,98,-9.8,-139.03,82.94,15.01
19,nabire,24,ID,1554432529,67,-3.36,135.5,84.65,2.48
20,kibala,0,TD,1554429600,35,9.11,18.35,84.2,8.63
21,avarua,68,CK,1554431400,74,-21.21,-159.78,78.8,3.36
22,ostrovnoy,64,RU,1554432529,83,68.05,39.51,21.92,8.08
23,great falls,75,US,1554432335,50,47.5,-111.29,54,9.17
24,oussouye,20,SN,1554432529,83,12.49,-16.54,70.7,17.02
25,alyangula,40,AU,1554429600,94,-13.85,136.42,78.8,4.7
26,la ronge,75,CA,1554429600,68,55.1,-105.3,24.8,3.36
27,mar del plata,0,AR,1554432530,60,-46.43,-67.52,57.38,18.92
28,ribeira grande,32,PT,1554432524,100,38.52,-28.7,57.74,16.24
29,rikitea,20,PF,1554432499,100,-23.12,-134.97,76.91,16.69
30,saint-leu,0,RE,1554432403,73,-21.15,55.28,78.8,8.05
31,georgetown,0,GY,1554429600,88,6.8,-58.16,75.2,4.7
32,albany,40,US,1554432259,29,42.65,-73.75,35.6,13.87
33,qaanaaq,48,GL,1554432474,80,77.48,-69.36,0.86,5.73
34,guerrero negro,0,MX,1554432531,91,27.97,-114.04,57.56,8.86
35,hobart,40,AU,1554432255,42,-42.88,147.33,71.01,17.22
36,gisborne,92,NZ,1554432010,70,-38.66,178.02,64,4
37,krasnokholm,88,RU,1554432532,91,51.6,54.16,36.86,3.15
38,linxia,0,CN,1554432532,32,35.6,103.21,52.43,3.6
39,progreso,90,UY,1554432427,77,-34.68,-56.22,66.99,20.8
40,slavonice,0,AT,1554432510,61,49,15.35,48.99,10.29
41,namatanai,76,PG,1554432533,100,-3.66,152.44,80.78,3.94
42,cidreira,92,BR,1554432533,100,-30.17,-50.22,71.24,9.98
43,mossendjo,92,CG,1554432533,97,-2.95,12.72,73.67,2.15
44,visnes,0,NO,1554432398,53,59.36,5.22,52,11.41
45,barrow,8,AR,1554432533,81,-38.31,-60.23,55.49,11.43
46,port alfred,100,ZA,1554432421,96,-33.59,26.89,62.01,3
47,puerto ayora,92,EC,1554432534,100,-0.74,-90.35,78.26,2.82
48,hays,1,US,1554431416,71,38.88,-99.33,55.4,4.7
49,butaritari,48,KI,1554432534,100,3.07,172.79,79.34,5.17
50,bluff,24,AU,1554432149,44,-23.58,149.07,84.74,12.88
51,vila velha,0,BR,1554432489,88,-3.71,-38.6,78.8,3.36
52,dikson,64,RU,1554432534,100,73.51,80.55,18.5,9.31
53,cape town,20,ZA,1554432190,82,-33.93,18.42,59,10.29
54,iqaluit,75,CA,1554432125,77,63.75,-68.52,1.4,25.28
55,chokurdakh,24,RU,1554432535,100,70.62,147.9,19.31,4.38
56,sangre grande,20,TT,1554432431,78,10.59,-61.13,77,6.93
57,broken hill,0,AU,1554429600,22,-31.97,141.45,87.8,17.22
58,mocajuba,100,BR,1554432536,98,-2.58,-49.5,71.87,3.38
59,maniitsoq,80,GL,1554432536,75,65.42,-52.9,27.68,9.53
60,arraial do cabo,0,BR,1554432536,90,-22.97,-42.02,78.53,19.26
61,victoria,90,BN,1554429600,94,5.28,115.24,87.8,1.92
62,sakaiminato,75,JP,1554432490,24,35.55,133.23,66.2,21.92
63,saldanha,88,PT,1554432536,97,41.42,-6.55,40.73,9.75
64,ahipara,64,NZ,1554432536,82,-35.17,173.16,66.2,9.19
65,sorland,36,NO,1554432537,100,67.67,12.69,39.11,8.97
66,srednekolymsk,12,RU,1554432537,78,67.46,153.71,26.06,3.27
67,thompson,40,CA,1554430440,78,55.74,-97.86,15.8,4.7
68,yumen,0,CN,1554432537,25,40.29,97.04,62.96,11.21
69,hervey bay,75,AU,1554432343,48,-25.3,152.85,86,19.46
70,lompoc,40,US,1554432397,71,34.64,-120.46,60.8,5.82
71,fonte boa,20,BR,1554432538,93,-2.51,-66.09,76.73,2.37
72,cherskiy,0,RU,1554432538,69,68.75,161.3,25.43,3.38
73,port lincoln,76,AU,1554432538,67,-34.72,135.86,75.47,25.19
74,narsaq,92,GL,1554429000,44,60.91,-46.05,37.4,33.33
75,mogadishu,12,SO,1554432277,100,2.04,45.34,82.4,14
76,nome,90,US,1554432517,88,30.04,-94.42,73.4,5.82
77,airai,92,TL,1554432539,97,-8.93,125.41,70.07,2.26
78,benguela,32,AO,1554432539,100,-12.58,13.4,79.25,2.71
79,xiamen,32,CN,1554429600,69,24.46,118.07,73.4,8.95
80,jamestown,0,AU,1554432440,30,-33.21,138.6,85.28,19.37
81,manavalakurichi,20,IN,1554429600,74,8.13,77.3,84.2,4.7
82,gardez,8,AF,1554432540,85,33.6,69.22,37.67,1.92
83,tamiami,75,US,1554432526,78,25.76,-80.4,77,12.75
84,miyako,75,JP,1554432455,41,33.63,130.94,66,4.7
85,broome,12,GB,1554432528,86,52.47,1.45,46,8.05
86,quetigny,0,FR,1554432316,78,47.31,5.12,32,3.36
87,batticaloa,0,LK,1554432540,94,7.71,81.69,83.21,3.71
88,punta arenas,75,CL,1554432151,87,-53.16,-70.91,44.6,5.82
89,pisco,75,PE,1554429600,83,-13.71,-76.2,69.8,9.17
90,grand forks,90,US,1554432900,94,47.91,-97.06,37.4,23.04
91,souillac,0,FR,1554432502,65,45.6,-0.6,46.99,14.99
92,muscat,0,OM,1554429000,78,23.6,58.55,77,2.24
93,vrbas,0,RS,1554429600,54,45.57,19.64,53.6,17.22
94,bathsheba,40,BB,1554429600,69,13.22,-59.52,78.8,17.22
95,hilo,75,US,1554432497,57,19.71,-155.08,78.8,9.17
96,ushuaia,75,AR,1554429600,80,-54.81,-68.31,39.2,10.29
97,manoel urbano,64,BR,1554432542,90,-8.84,-69.26,77.99,2.71
98,oktyabrskiy,0,RU,1554432124,77,55.61,37.97,34,6.71
99,carnarvon,12,ZA,1554432542,72,-30.97,22.13,48.56,15.57
100,bud,0,NO,1554432369,80,62.91,6.91,42.01,2.24
101,balaipungut,68,ID,1554432543,97,1.11,101.31,79.25,3.71
102,norman wells,5,CA,1554429600,47,65.28,-126.83,14,6.93
103,barentu,0,ER,1554432543,56,15.11,37.59,54.05,2.71
104,mahebourg,40,MU,1554432542,88,-20.41,57.7,75.99,4.7
105,hithadhoo,0,MV,1554432351,100,-0.6,73.08,82.58,2.15
106,vaini,20,IN,1554429600,83,15.34,74.49,69.8,2.82
107,bethel,20,US,1554429360,47,60.79,-161.76,35.6,20.8
108,mayo,20,CA,1554429600,23,63.59,-135.9,28.4,8.05
109,kapaa,20,US,1554432199,57,22.08,-159.32,80.6,9.17
110,codrington,40,AU,1554432491,47,-28.95,153.24,79,11.41
111,san cristobal,75,EC,1554432317,87,-0.39,-78.55,57.2,3.36
112,kaitangata,68,NZ,1554432540,48,-46.28,169.85,54,8.01
113,ipixuna,75,BR,1554429600,94,-1.76,-48.8,73.4,3.36
114,hasaki,75,JP,1554431977,28,35.73,140.83,70,16.11
115,marawi,20,PH,1554432546,67,8,124.29,81.59,2.71
116,tsabong,56,BW,1554432546,95,-26.02,22.4,58.01,3.94
117,camargo,12,MX,1554432546,16,27.69,-105.17,64.67,7.74
118,santa catalina,20,PH,1554429600,66,9.33,122.86,86,9.17
119,gigmoto,24,PH,1554432547,96,13.78,124.39,81.32,6.4
120,morondava,68,MG,1554432547,100,-20.3,44.28,74.12,3.49
121,talnakh,88,RU,1554432547,98,69.49,88.39,21.11,8.19
122,lebu,24,ET,1554432548,86,8.96,38.73,47.03,3.15
123,geraldton,75,CA,1554429600,53,49.72,-86.95,24.8,9.17
124,bykivka,0,UA,1554432548,55,50.29,27.97,30.38,9.19
125,nhulunbuy,75,AU,1554429840,83,-12.18,136.78,82.4,11.41
126,nikolskoye,0,RU,1554432336,55,59.7,30.79,35.6,4.47
127,coquimbo,0,CL,1554429600,87,-29.95,-71.34,59,2.24
128,camopi,92,GF,1554432549,95,3.17,-52.33,74.3,2.82
129,damaturu,0,NG,1554432549,52,11.75,11.96,69.53,3.94
130,aitape,24,PG,1554432550,100,-3.15,142.36,80.87,5.5
131,roma,0,IT,1554432243,100,41.89,12.48,46,4.7
132,bonfim,0,BR,1554429600,83,-20.33,-44.24,73.4,3.36
133,raudeberg,0,NO,1554432306,75,61.99,5.14,44.6,8.05
134,djibo,92,BF,1554432551,61,14.1,-1.63,86.99,4.61
135,vao,0,EE,1554432551,77,59.1,26.19,30.29,4.94
136,solhan,88,TR,1554432551,97,38.97,41.05,32.99,2.37
137,dickinson,90,US,1554432349,43,46.88,-102.79,55.99,3.36
138,vardo,40,US,1554432526,43,39.62,-77.74,55.4,3.38
139,ayorou,0,NE,1554432552,27,14.73,0.92,76.73,5.61
140,zhangye,0,CN,1554432552,73,38.94,100.46,53.33,6.85
141,severo-kurilsk,48,RU,1554432552,92,50.68,156.12,35.24,4.72
142,pine bluff,90,US,1554432342,93,34.23,-92,57.2,11.21
143,cabo san lucas,75,MX,1554432035,73,22.89,-109.91,73.99,3.36
144,ketchikan,90,US,1554429360,87,55.34,-131.65,46.4,23.04
